"Sequence" "DepthBaseMVP" "AdaptiveLuminanceCompensation" "VSP_Enable" "Texture_QPISlice" "Texture_QPPSlice" "FrameToBeEncoded" "Depth_QPISlice" "Depth_QPPSlice" "T1_Rate" "T5_Rate" "D1_Rate" "D5_Rate" "Ratio" "T1_PSNR" "T5_PSNR" "AVE_PSNR" "SUM_Rate"
"137" "kendo" "Enable" "Enable" "Enable" 28 28 100 38 38 289.27 294.54 33.21 42.16 7.74592012737163 40.78474 40.3153 40.55002 659.18
"138" "kendo" "Enable" "Enable" "Enable" 30 30 100 28 28 218.86 218.21 120.78 163.9 1.53530279612196 39.73044 39.27341 39.501925 721.75
"139" "kendo" "Enable" "Enable" "Enable" 30 30 100 29 29 218.25 218.67 105.63 142.71 1.7593621647741 39.72966 39.268 39.49883 685.26
"140" "kendo" "Enable" "Enable" "Enable" 30 30 100 30 30 218.69 218.98 91.5 124.93 2.02222427574735 39.72947 39.2854 39.507435 654.1
"141" "kendo" "Enable" "Enable" "Enable" 30 30 100 31 31 218.53 218.7 81.35 110.87 2.27463323275414 39.73487 39.27045 39.50266 629.45
"142" "kendo" "Enable" "Enable" "Enable" 30 30 100 32 32 219.08 219.48 70.16 94.77 2.65906748317468 39.72631 39.28637 39.50634 603.49
"143" "kendo" "Enable" "Enable" "Enable" 30 30 100 33 33 218.94 219.03 62.22 84.25 2.9901686352154 39.72387 39.27119 39.49753 584.44
"144" "kendo" "Enable" "Enable" "Enable" 30 30 100 34 34 219.28 219.42 54.47 73.63 3.42466822794692 39.72644 39.28244 39.50444 566.8
"145" "kendo" "Enable" "Enable" "Enable" 30 30 100 35 35 219.38 219.1 47.85 64.51 3.90245639017444 39.72869 39.27493 39.50181 550.84
"146" "kendo" "Enable" "Enable" "Enable" 30 30 100 36 36 219.44 219.98 42.43 55.99 4.46474293842715 39.723 39.26747 39.495235 537.84
"147" "kendo" "Enable" "Enable" "Enable" 30 30 100 37 37 219.78 220.23 37.66 48.59 5.1015652173913 39.72202 39.26089 39.491455 526.26
"148" "kendo" "Enable" "Enable" "Enable" 30 30 100 38 38 219.66 220.53 33.21 42.16 5.84038742205121 39.71449 39.26709 39.49079 515.56
"149" "kendo" "Enable" "Enable" "Enable" 32 32 100 28 28 168.2 164.18 120.75 163.37 1.16985780656061 38.57565 38.158 38.366825 616.5
"150" "kendo" "Enable" "Enable" "Enable" 32 32 100 29 29 167.35 163.2 105.34 142.75 1.33237937845137 38.571 38.14363 38.357315 578.64
"151" "kendo" "Enable" "Enable" "Enable" 32 32 100 30 30 166.78 163.58 91.73 124.49 1.52788826195542 38.571 38.12553 38.348265 546.58
"152" "kendo" "Enable" "Enable" "Enable" 32 32 100 31 31 167.67 164.07 81.62 110.64 1.72547591802767 38.58992 38.14506 38.36749 524
"153" "kendo" "Enable" "Enable" "Enable" 32 32 100 32 32 170.69 167.97 68.1 91.55 2.12126526777325 38.66726 38.20969 38.438475 498.31
"154" "kendo" "Enable" "Enable" "Enable" 32 32 100 33 33 167.66 164.36 62.46 84.53 2.2587931151779 38.56902 38.121 38.34501 479.01
"155" "kendo" "Enable" "Enable" "Enable" 32 32 100 34 34 167.07 164.48 54.42 73.56 2.59063916236912 38.56628 38.156 38.36114 459.53
"156" "kendo" "Enable" "Enable" "Enable" 32 32 100 35 35 166.75 164.48 48.3 64.01 2.94924761819963 38.58582 38.14053 38.363175 443.54
"157" "kendo" "Enable" "Enable" "Enable" 32 32 100 36 36 167.98 164.27 42.34 56.05 3.37686756784226 38.58329 38.145 38.364145 430.64
"158" "kendo" "Enable" "Enable" "Enable" 32 32 100 37 37 167.81 165.56 37.54 48.77 3.86247248291044 38.58055 38.1341 38.357325 419.68
"159" "kendo" "Enable" "Enable" "Enable" 32 32 100 38 38 168.13 166.18 33.39 42.12 4.42736061448815 38.58269 38.14379 38.36324 409.82
"160" "kendo" "Enable" "Enable" "Enable" 34 34 100 28 28 128.52 123.8 121.23 164.24 0.883875713735244 37.41982 37.01225 37.216035 537.79
"161" "kendo" "Enable" "Enable" "Enable" 34 34 100 29 29 128.46 123.82 105.68 142.72 1.01561996779388 37.42348 37.0228 37.22314 500.68
"162" "kendo" "Enable" "Enable" "Enable" 34 34 100 30 30 128.84 123.66 91.71 124.74 1.16655116655117 37.43348 37.02402 37.22875 468.95
"163" "kendo" "Enable" "Enable" "Enable" 34 34 100 31 31 128.44 124.16 81.02 110.92 1.31603626133167 37.42347 37.01523 37.21935 444.54
"164" "kendo" "Enable" "Enable" "Enable" 34 34 100 32 32 128.99 124.02 69.84 94.51 1.53945847277152 37.42089 37.00521 37.21305 417.36
"165" "kendo" "Enable" "Enable" "Enable" 34 34 100 33 33 129.15 124.51 62.32 83.95 1.73419019621248 37.4352 37.00846 37.22183 399.93
"166" "kendo" "Enable" "Enable" "Enable" 34 34 100 34 34 132.19 127.51 52.14 70.31 2.12086565945284 37.51736 37.08477 37.301065 382.15
"167" "kendo" "Enable" "Enable" "Enable" 34 34 100 35 35 129.03 124.61 48.05 63.9 2.2656543099598 37.427 37.0048 37.2159 365.59
"168" "kendo" "Enable" "Enable" "Enable" 34 34 100 36 36 129.38 125.12 42.07 56 2.59508514326502 37.44836 37.00922 37.22879 352.57
"169" "kendo" "Enable" "Enable" "Enable" 34 34 100 37 37 128.47 125.35 37.54 48.7 2.94318181818182 37.43856 37.00706 37.22281 340.06
"170" "kendo" "Enable" "Enable" "Enable" 34 34 100 38 38 129.32 125.88 32.96 42.05 3.40221303826157 37.43142 36.99564 37.21353 330.21
